CompanyNumber,CompanyName,BestEstimateEmployees,BestEstimateTurnover,WomenLed,IUK_GBP,Investment_GBP,RegisteredPostcode,Homepage_domain,financials_source
07822004,SWEET CHERRY PUBLISHING LIMITED,52.0,3420946.0,1,0.0,0.0,LE2 2PA,sweetcherrypublishing.com,DC
07938985,ATHENA EVENTS LIMITED,144.0,3346128.0,1,0.0,0.0,LE3 5DE,athenacb.co.uk,DC
08024328,INSPIRATE,25.0,532300.0,0,0.0,0.0,LE1 1TG,www.inspirate.org,DC
08186746,ELITE TURNKEY SOLUTIONS LIMITED,55.0,1877260.0,1,0.0,0.0,CB9 8AD,etsgroup.uk.com,DC
08765703,FORWARD THINKING MOVEMENT AND DANCE CIC,218.0,6165040.0,1,0.0,0.0,LE19 1WP,ftmdance.co.uk,DC
09051460,HARRISON CARR LIMITED,25.0,684400.0,0,0.0,0.0,CH4 0DH,harrison-carr.co.uk,DC
09084187,SCHAPPIT LTD,68.0,4738988.0,0,0.0,0.0,LE12 7PU,www.piota.co.uk,DC
10280889,ASSISTED. LTD,49.0,2465925.0,1,0.0,0.0,LE17 5BH,www.assisted.co.uk,DC
10592902,ALIAS INDUSTRIES LIMITED,27.0,1616004.0,0,0.0,0.0,LE9 7RN,alias-industries.co.uk,DC
10708865,ACR SIGNS LIMITED,36.0,5207508.0,0,0.0,0.0,LE19 1WP,acrsigns.com,DC
10852290,VMGS INSTALLATIONS LTD,12.0,425832.0,1,0.0,0.0,LE2 2FL,www.vmgs.co.uk,DC
11184927,PARAGON SALES SOLUTIONS LTD,16.0,546112.0,0,0.0,0.0,LE8 5QU,www.paragonsalessolutions.co.uk,DC
11402472,SOKORA JEWELS LTD,31.0,431768.0,1,0.0,0.0,LE1 1FB,sokorajewels.com,DC
11620353,DALLAS HOLDINGS LIMITED,332.0,13111344.0,0,0.0,0.0,LE1 3HT,www.dallas-holdings.co.uk,DC
11816660,MMPV HOLDINGS LIMITED,61.0,18750211.0,0,0.0,0.0,LE19 1WZ,dupli.co.uk,DC
12159397,ALIAS CNC LIMITED,18.0,1393812.0,0,0.0,0.0,LE9 7RN,alias-industries.co.uk,DC
12452205,MATCHINGHAM GAMES LIMITED,240.0,48662980.0,0,0.0,0.0,LE1 5QQ,matchingham.gs,DC
12694758,PRINTBERRY LTD,20.0,2893060.0,0,0.0,0.0,LE2 0AA,berryprints.co.uk,DC
12702456,MIDLANDS PROPERTY SOLUTIONS LTD,15.0,623760.0,1,0.0,0.0,LE5 2DA,midlandspropertysolutions.com,DC
13025941,EVERYTHING PROMO LTD,25.0,1956675.0,0,0.0,0.0,LE19 4SA,www.everythingpromo.com,DC
13120619,DESQUARED MARKETING LIMITED,15.0,1174005.0,0,0.0,0.0,LE1 3DL,wearedapa.co.uk,DC
13145157,BIGBEARPROMO LTD,19.0,1487073.0,0,0.0,0.0,LE19 4SA,www.bigbearpromo.co.uk,DC
13236462,THE VERITY CENTRE (15) LIMITED,53.0,2402755.0,0,0.0,0.0,LE1 3BE,www.atm.group,DC
13422604,BUSINESS 2 BUSINESS (RSC) LIMITED,170.0,9999060.0,0,0.0,0.0,LE1 3HT,www.business2businesslimited.com,DC
OC397481,RGP (SERVICES) LLP,75.0,507299.0,0,0.0,0.0,LE1 6TR,www.rg-p.co.uk,DC
OC415697,BIRD AND HOWES LLP,32.0,4946912.0,0,0.0,0.0,LE7 4UZ,www.birdandhowes.co.uk,DC
10789721,PAY PERFORM LIMITED,65.0,9691435.0,0,0.0,0.0,EC3V 9BQ,payperform.com,DC
13173179,HIVE SERVICES GROUP LIMITED,18.0,3492486.0,0,0.0,0.0,CB22 3JH,hive-group.com,DC
NC001416,BROWN O'CONNOR COMMUNICATIONS LLP,15.0,2318865.0,1,0.0,0.0,BT2 8FE,brownoconnor.com,DC
NC001638,BENNETT FREEHILL LLP,26.0,4019366.0,1,0.0,0.0,BT4 2NF,bennettfreehill.com,DC
NI031664,TICKET SHOP (N.I.) LIMITED,24.0,15333967.0,0,0.0,0.0,BT1 2LR,ticketmaster.co.uk,DC
NI031997,NORTHERN IRELAND SCREEN COMMISSION,570.0,31158688.0,0,0.0,0.0,BT2 8ED,northernirelandscreen.co.uk,DC
NI041704,FALLS COMMUNITY COUNCIL LIMITED,30.0,1439460.0,1,0.0,0.0,BT12 4AQ,fallscouncil.com,DC
NI042872,OPEN HOUSE FESTIVAL LIMITED,52.0,1836269.0,0,0.0,0.0,BT20 5ED,openhousefestival.com,DC
NI045268,OCO GLOBAL LIMITED,289.0,26627333.0,0,0.0,0.0,BT12 4HB,www.ocoglobal.com,DC
NI047091,ANTHONY REDDY ASSOCIATES (NI) LIMITED,24.0,862944.0,0,0.0,0.0,BT2 7JH,reddyarchitecture.com,DC
NI058233,THE BLACK BOX TRUST,30.0,917895.0,1,0.0,0.0,BT1 2LA,www.blackboxbelfast.com,DC
NI062936,OH YEAH MUSIC CENTRE,27.0,745733.0,0,0.0,0.0,BT1 2LG,ohyeahbelfast.com,DC
NI070571,NORTHERN IRELAND FOREST SCHOOL ASSOCIATION,18.0,288957.0,0,0.0,0.0,BT19 1RN,www.forestschoolsni.com,DC
NI604180,BILLY GOAT ENTERTAINMENT LIMITED,28.0,1098944.0,0,0.0,0.0,BT9 7FL,billygoat.tv,DC
NI610190,HYBRID MAIL SOLUTIONS LIMITED,22.0,775654.0,0,0.0,0.0,BT3 9LE,www.hybridmailsolutions.com,DC
NI610937,PAPER OWL FILMS LIMITED,85.0,7829180.0,0,0.0,0.0,BT3 9LE,paperowlfilms.com,DC
NI612376,MADEBYMINT LIMITED,82.0,2044670.0,1,0.0,0.0,BT1 4GA,madebymint.biz,DC
NI613051,ACTION FOR COMMUNITY TRANSFORMATION INITIATIVE,21.0,1045681.0,0,0.0,0.0,BT13 2BH,act-ni.co.uk,DC
